Journal,Link,Since
Abstract and Applied Analysis,https://www.hindawi.com/journals/aaa/,2025-06-20 17:37:18
Academic Exchange Quarterly,http://www.rapidintellect.com/AEQweb/,2025-06-20 17:37:18
Academic Research Reviews,http://academicreviews.us/Default.aspx,2025-06-20 17:37:18
Academy of Contemporary Research Journal (AOCRJ),http://aocrj.org/,2025-06-20 17:37:18
ACME Intellects,http://www.acmeintellects.org/,2025-06-20 17:37:18
Acoustics,https://www.mdpi.com/journal/acoustics,2025-06-20 17:37:18
Acta Advances in Agricultural Sciences (AAAS),http://www.aaasjournal.com/,2025-06-20 17:37:18
Acta de Gerencia Ciencia (CAGENA),http://www.cagena.com/,2025-06-20 17:37:18
Acta Kinesiologica,http://www.actakin.com/,2025-06-20 17:37:18
Acta Medica International,http://www.tmu.ac.in/acta_publications.htm,2025-06-20 17:37:18
Acta Neurologica Scandinavica,https://www.hindawi.com/journals/ans/,2025-06-20 17:37:18
Acta Scientiae et Intellectus,http://www.actaint.com/,2025-06-20 17:37:18
Acta Velit,http://actavelit.com/,2025-06-20 17:37:18
Active and Passive Electronic Components,https://www.hindawi.com/journals/apec/,2025-06-20 17:37:18
Actuators,https://www.mdpi.com/journal/actuators,2025-06-20 17:37:18
Adalya Journal (hijacker of a legitimate journal),http://adalyajournal.com/,2025-06-20 17:37:18
Administrative Sciences,https://www.mdpi.com/journal/admsci,2025-06-20 17:37:18
Adolescents,https://www.mdpi.com/journal/adolescents,2025-06-20 17:37:18
Adsorption Science & Technology,https://www.hindawi.com/journals/ast/,2025-06-20 17:37:18
Advance Research Journal of Multidisciplinary Discoveries,http://www.journalresearchijf.com/,2025-06-20 17:37:18
Advanced Gut & Microbiome Research,https://www.hindawi.com/journals/agmr/,2025-06-20 17:37:18
Advances in Aerospace Science and Technology,https://www.scirp.org/journal/aast,2025-06-20 17:37:18
Advances in Aerospace Science and Technology (AAST),http://www.scirp.org/journal/AAST,2025-06-20 17:37:18
